,0,nt
0,"Bunch of prizes from National Institute of Technology!

Teams from KPRIET won numerous prizes in technical competitions at NIT Silchar and NIT Calicut in the events Hover Craft, Rigata (RC Boat), and All Terrain Vehicle categories (ATV).

In Hover Craft event at NIT Calicut, we have bagged I, II, IV and V prizes worth Rs. 41,000.

In Rigata (RC Boat) event team KPRIET won 3rd position at NIT Calicut

At NIT Silchar, our team won 1st place in Submarine event among 91 teams and 2nd place in All Terrain Vehicle (ATV) event.

Hearty Congratulations to all the winners.

#winners #event #technology #team #nitcalicut #nit #kpriet #drones #award #congratulations
…see more","Bunch of prizes from National Institute of Technology!

Teams from KPRIET won numerous prizes in technical competitions at NIT Silchar and NIT Calicut in the events Hover Craft, Rigata (RC Boat), and All Terrain Vehicle categories (ATV).

In Hover Craft event at NIT Calicut, we have bagged I, II, IV and V prizes worth Rs. 41,000.

In Rigata (RC Boat) event team KPRIET won 3rd position at NIT Calicut

At NIT Silchar, our team won 1st place in Submarine event among 91 teams and 2nd place in All Terrain Vehicle (ATV) event.

Hearty Congratulations to all the winners.

#winners #event #technology #team #nitcalicut #nit #kpriet #drones #award #congratulations
…see more"
1,"""There are Friends, there's Family but then there are Friends that become Family""


27th October 2021 Last year, this marks the first day I stepped into this beautiful place, met all these beautiful people and became a part of KPR.

Every student's first day of college is truly unique and memorable.
It's hard for someone to forget the first day of entering into the real college life after seeing the reel college life.

I was a kind of person who was an introvert to the core and I always find it hard to socialize with people around me.
But these people in the picture changed me slowly. I gradually started to mingle with a few of them and became selectively extrovert.

Now each person I met so far have a special place and play a special role in my life. We all share laughters and tears together.

This one year journey which include all sort of emotions starting from several dramas to severe traumas etc..has taught so many things in life. Each and every day I learn something new from the people around me and from my surrounding. Life is all about learning right..?

Initially I kind of regretted the choices I made in life but now that I'm really grateful for what I have and who I am.

But I'm really grateful for the support which is being provided for me by my Institute KPR Institute of Engineering and Technology and the person who inspired me the most so far with her talks and actions and who would bring a smile in everyone's face is my beloved Principal Akila Muthuramalingam

I've never seen a person in my life who's so dedicated to the role which she has be given to play as a leader of the institution.


And I thank each and every one of them in this picture for supporting me in my hard times and sharing all your good times with me.



""Chemical-Bonds Forever""









#technology #learning #engineering #grateful #chemical #leader #share #people #1yearanniversary #kpriet #lifeatkpr #people #collegelife

…see more","""There are Friends, there's Family but then there are Friends that become Family""


27th October 2021 Last year, this marks the first day I stepped into this beautiful place, met all these beautiful people and became a part of KPR.

Every student's first day of college is truly unique and memorable.
It's hard for someone to forget the first day of entering into the real college life after seeing the reel college life.

I was a kind of person who was an introvert to the core and I always find it hard to socialize with people around me.
But these people in the picture changed me slowly. I gradually started to mingle with a few of them and became selectively extrovert.

Now each person I met so far have a special place and play a special role in my life. We all share laughters and tears together.

This one year journey which include all sort of emotions starting from several dramas to severe traumas etc..has taught so many things in life. Each and every day I learn something new from the people around me and from my surrounding. Life is all about learning right..?

Initially I kind of regretted the choices I made in life but now that I'm really grateful for what I have and who I am.

But I'm really grateful for the support which is being provided for me by my Institute KPR Institute of Engineering and Technology and the person who inspired me the most so far with her talks and actions and who would bring a smile in everyone's face is my beloved Principal Akila Muthuramalingam

I've never seen a person in my life who's so dedicated to the role which she has be given to play as a leader of the institution.


And I thank each and every one of them in this picture for supporting me in my hard times and sharing all your good times with me.



""Chemical-Bonds Forever""









#technology #learning #engineering #grateful #chemical #leader #share #people #1yearanniversary #kpriet #lifeatkpr #people #collegelife

…see more"
2,"Happy Diwali To you ✨❤️


I am 1st Year Student At KPRIET. I am In South India For Last 3 Month due To Long Distance I Am Not Able To go Home in Diwali.

While Late Night Talking With Friend.We Thought Let’s Celebrate Diwali in Hostel as We Celebrate Diwali in Home and All Friend are Agree With it.

For that we knows It’s Very hard For Us To manage All Thing From Asking Permission To Making Diwali Grand As Like Home.

Our Institution Has never Disappoints Us Whenever We ask For Something Whether it is Diwali Or Any Event or Celebration All Credit Goes to Manikandan Arumugham sir and Akila Muthuramalingam ma’am Who’s Always Incourage us and Make Us Feel like Guardian Who mentor Everytime.


Yesterday night,after All Effort Of Two Week.We made it and we did it grand and Its beyond our Expectations.

Celebrating Diwali in Home will never be same as Celebrating Diwali in Hostel but We tried Our best and All of us are very Proud to be here KPR Institute of Engineering and Technology.


#technology #india #engineering #diwali #hostel #kpriet #kpr # #event
…see more","Happy Diwali To you ✨❤️


I am 1st Year Student At KPRIET. I am In South India For Last 3 Month due To Long Distance I Am Not Able To go Home in Diwali.

While Late Night Talking With Friend.We Thought Let’s Celebrate Diwali in Hostel as We Celebrate Diwali in Home and All Friend are Agree With it.

For that we knows It’s Very hard For Us To manage All Thing From Asking Permission To Making Diwali Grand As Like Home.

Our Institution Has never Disappoints Us Whenever We ask For Something Whether it is Diwali Or Any Event or Celebration All Credit Goes to Manikandan Arumugham sir and Akila Muthuramalingam ma’am Who’s Always Incourage us and Make Us Feel like Guardian Who mentor Everytime.


Yesterday night,after All Effort Of Two Week.We made it and we did it grand and Its beyond our Expectations.

Celebrating Diwali in Home will never be same as Celebrating Diwali in Hostel but We tried Our best and All of us are very Proud to be here KPR Institute of Engineering and Technology.


#technology #india #engineering #diwali #hostel #kpriet #kpr # #event
…see more"
3,"So near but so far away. We were disappointed that we were unable to progress to the successive stages. However, interacting with students from IIT-Delhi and from other regions of India was a tremendous delight and an educational experience.Hoping to be on the receiving end of good news the following time.
…see more","So near but so far away. We were disappointed that we were unable to progress to the successive stages. However, interacting with students from IIT-Delhi and from other regions of India was a tremendous delight and an educational experience.Hoping to be on the receiving end of good news the following time.
…see more"
4,"Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Senguthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more","Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Senguthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more"
5,"Millions of people throughout the world rejoice for five days during Diwali, also known as the Festival of Lights or Deepavali. The Hindu month of Kartik, which usually falls between October and November, is when it occurs. The dates for this year's Diwali are October 23, 2022, through October 27, 2022. However, October 24, 2022, will be the event's largest day. The central message of Diwali is that light triumphs over darkness and good over evil. Due to this, lighting up their life with fireworks, candles, and lanterns is another aspect of the Diwali celebration. In addition, people decorate their homes with colour by making elaborate designs known as rangolis out of coloured powder, rice, and flowers.


Have a blessed and beautiful Diwali full of celebrations, festivities and feasts with your near and dear ones

#happydiwali #people #event #festival #celebration #india #experience #lifeatkpr #kpriet #diwali
…see more","Millions of people throughout the world rejoice for five days during Diwali, also known as the Festival of Lights or Deepavali. The Hindu month of Kartik, which usually falls between October and November, is when it occurs. The dates for this year's Diwali are October 23, 2022, through October 27, 2022. However, October 24, 2022, will be the event's largest day. The central message of Diwali is that light triumphs over darkness and good over evil. Due to this, lighting up their life with fireworks, candles, and lanterns is another aspect of the Diwali celebration. In addition, people decorate their homes with colour by making elaborate designs known as rangolis out of coloured powder, rice, and flowers.


Have a blessed and beautiful Diwali full of celebrations, festivities and feasts with your near and dear ones

#happydiwali #people #event #festival #celebration #india #experience #lifeatkpr #kpriet #diwali
…see more"
6,"""I'm Not a Teacher,but An Awakener.""
Driven a 90 Minutes Session on ""How To Make Your Linkedin Profile Standout!"" On 15th of October 2022.

Being an Active User In LinkedIn For the Past 8 Months,I Have Made Plenty Of Mistakes;while Uploading a post and in maintaining the dashboard and I took a Deep look in the mistakes made by me and learnt,not to Repeat it again!.When I Came to Know that 3/4 of my Fellow Classmates aren't Using LinkedIn and Unaware Of The LinkedIn Platform,it Urged me To Took the Initiative and Stepped Up as A Resource Person and Instructed My Classmates Not to Repeat the Mistakes which I've done Earlier and Guided Them the ways to Write Content for their posts and Assisted them in Creating LinkedIn Accounts.

The Session was Way More interesting than the way i Expected as my Fellow Classmates were keen on Asking Questions To me.At The End of The Session:Received Feedbacks From them,Which made Me To Smile for quite a long time.I Thank Mr.SARAVANAN B K For accepting My Proposal and Granting Permission to Handle This Session.

#linkedin #mistakes #content #awakening
#kpriet #learnbeyond #mechanicalengineering
#ikigai #october2022 #2022 #smile
…see more","""I'm Not a Teacher,but An Awakener.""
Driven a 90 Minutes Session on ""How To Make Your Linkedin Profile Standout!"" On 15th of October 2022.

Being an Active User In LinkedIn For the Past 8 Months,I Have Made Plenty Of Mistakes;while Uploading a post and in maintaining the dashboard and I took a Deep look in the mistakes made by me and learnt,not to Repeat it again!.When I Came to Know that 3/4 of my Fellow Classmates aren't Using LinkedIn and Unaware Of The LinkedIn Platform,it Urged me To Took the Initiative and Stepped Up as A Resource Person and Instructed My Classmates Not to Repeat the Mistakes which I've done Earlier and Guided Them the ways to Write Content for their posts and Assisted them in Creating LinkedIn Accounts.

The Session was Way More interesting than the way i Expected as my Fellow Classmates were keen on Asking Questions To me.At The End of The Session:Received Feedbacks From them,Which made Me To Smile for quite a long time.I Thank Mr.SARAVANAN B K For accepting My Proposal and Granting Permission to Handle This Session.

#linkedin #mistakes #content #awakening
#kpriet #learnbeyond #mechanicalengineering
#ikigai #october2022 #2022 #smile
…see more"
7,"""Teaching is not about information. It's about having an honest intellectual relationship with your students"".

Happy to share ❤️😊 memories along with my squad and my Mentees...

#kpr
#kprietians
#kpriet
#mentees
#mentor
#students
#studentsteacherlove
#share #teaching
…see more","""Teaching is not about information. It's about having an honest intellectual relationship with your students"".

Happy to share ❤️😊 memories along with my squad and my Mentees...

#kpr
#kprietians
#kpriet
#mentees
#mentor
#students
#studentsteacherlove
#share #teaching
…see more"
8,"Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Sengunthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more","Won First 🥇 place with cash price for ""Smart water level management system using IoT"" at Erode Sengunthar Engineering College, Erode.

Erode Sengunthar Engineering College , #kpriet Department of EEE, KPRIET .

#iot #water #management #engineering
…see more"
9,"Why people hesitate to opt Civil Engineering course nowadays???
The Civil Engineering graduates are jobless is the answer.
Is this true??
Not at all. Even in this pandemic situation there are lots of vacancies for Civil Engineer Job.
Then where does the pblm arise?
It is in the mind of people. We always believe what we hear.
If we analyse before we believe,we can determine the truth.
The truth is ,the mindset of the people should be changed.
Civil Engineering is an evergreen field where varieties of jobs are available. The students are free to choose the field that suits them the best.
If a student studies well during the course of study and if the student gains more practical knowledge during the four years of the course and if the student is willing to take up the job with full positive mindset and if the student is able to manage and copeup with the timings during his/her work then the student will definitely be a successful Civil Engineer.
This is the only field that gives life to non-living materials like building, bridge,dams etc.
The only field that makes many entrepreneurs is Civil Engineering.
Rather than sitting in AC Room and working,it gives a heartfelt satisfaction when you create a AC Room for others to sit and work. This can be felt only by a Civil Engineer.
If you change your mindset and if you learn more and practice more you can become a successful Civil Engineer/Entrepreneur.
Civil Engineers create footprint wherever they go.The buildings that we construct are our Pride.Be proud to be a Civil Engineer.
A successful path is approaching you,be ready to travel in it with full of enthusiasm.
#civilengineeringstudent #civilengineeringlife #civilengineer #kpriet #kprcivil #job #entrepreneurs
…see more","Why people hesitate to opt Civil Engineering course nowadays???
The Civil Engineering graduates are jobless is the answer.
Is this true??
Not at all. Even in this pandemic situation there are lots of vacancies for Civil Engineer Job.
Then where does the pblm arise?
It is in the mind of people. We always believe what we hear.
If we analyse before we believe,we can determine the truth.
The truth is ,the mindset of the people should be changed.
Civil Engineering is an evergreen field where varieties of jobs are available. The students are free to choose the field that suits them the best.
If a student studies well during the course of study and if the student gains more practical knowledge during the four years of the course and if the student is willing to take up the job with full positive mindset and if the student is able to manage and copeup with the timings during his/her work then the student will definitely be a successful Civil Engineer.
This is the only field that gives life to non-living materials like building, bridge,dams etc.
The only field that makes many entrepreneurs is Civil Engineering.
Rather than sitting in AC Room and working,it gives a heartfelt satisfaction when you create a AC Room for others to sit and work. This can be felt only by a Civil Engineer.
If you change your mindset and if you learn more and practice more you can become a successful Civil Engineer/Entrepreneur.
Civil Engineers create footprint wherever they go.The buildings that we construct are our Pride.Be proud to be a Civil Engineer.
A successful path is approaching you,be ready to travel in it with full of enthusiasm.
#civilengineeringstudent #civilengineeringlife #civilengineer #kpriet #kprcivil #job #entrepreneurs
…see more"
